source,type,action,target,weight
1629570089988046854,Tweet-Directed,reply,,1
1627439718987079681,Tweet-Directed,quote,,1
1627439718987079681,Tweet-Directed,retweet,1627314108373647361,1
1627439718987079681,Tweet-Directed,reply,,1
1627358615915855876,Tweet-Directed,quote,,1
1627358615915855876,Tweet-Directed,retweet,1627225095797178377,1
1627358615915855876,Tweet-Directed,reply,,1
1628625869383106562,Tweet-Directed,quote,,1
1628625869383106562,Tweet-Directed,retweet,1628612700904333314,1
1628625869383106562,Tweet-Directed,reply,,1
1628708369979654144,Tweet-Directed,quote,,1
1628708369979654144,Tweet-Directed,retweet,1628683288335290370,1
1628708369979654144,Tweet-Directed,reply,,1
1629858533234597891,Tweet-Directed,quote,,1
1629858533234597891,Tweet-Directed,retweet,1629752079844515840,1
1629858533234597891,Tweet-Directed,reply,,1
1630672371907526656,Tweet-Directed,quote,1630659978129186822,1
1630672371907526656,Tweet-Directed,retweet,1630671888434319360,1
1630672371907526656,Tweet-Directed,reply,,1
1629969170027642881,Tweet-Directed,quote,,1
1629969170027642881,Tweet-Directed,retweet,1629934372106256386,1
1629969170027642881,Tweet-Directed,reply,,1
1629078225157586954,Tweet-Directed,quote,,1
1629078225157586954,Tweet-Directed,retweet,1629033053556289536,1
1629078225157586954,Tweet-Directed,reply,,1
1628414879047598122,Tweet-Directed,quote,,1
1628414879047598122,Tweet-Directed,retweet,,1
1628414879047598122,Tweet-Directed,reply,1628327945214345217,1
1627820708012212224,Tweet-Directed,quote,,1
1627820708012212224,Tweet-Directed,retweet,1626111316434857984,1
1627820708012212224,Tweet-Directed,reply,,1
1626750873928859648,Tweet-Directed,quote,1626512648056500224,1
1626750873928859648,Tweet-Directed,retweet,,1
1626750873928859648,Tweet-Directed,reply,,1
1627653519602753537,Tweet-Directed,quote,,1
1627653519602753537,Tweet-Directed,retweet,1627398698316472321,1
1627653519602753537,Tweet-Directed,reply,,1
1626962415714725888,Tweet-Directed,quote,,1
1626962415714725888,Tweet-Directed,retweet,1626915338007851009,1
1626962415714725888,Tweet-Directed,reply,,1
1629368364337381376,Tweet-Directed,quote,,1
1629368364337381376,Tweet-Directed,retweet,1629362840971739136,1
1629368364337381376,Tweet-Directed,reply,,1
1629591365515452418,Tweet-Directed,quote,,1
1629591365515452418,Tweet-Directed,retweet,1629571000537866241,1
1629591365515452418,Tweet-Directed,reply,,1
1626875977090334720,Tweet-Directed,quote,1626669379503939585,1
1626875977090334720,Tweet-Directed,retweet,,1
1626875977090334720,Tweet-Directed,reply,,1
1630637933630767129,Tweet-Directed,quote,1630449722128322563,1
1630637933630767129,Tweet-Directed,retweet,1630584551176122368,1
1630637933630767129,Tweet-Directed,reply,,1
1628326818695585798,Tweet-Directed,quote,,1
1628326818695585798,Tweet-Directed,retweet,1628085540967919659,1
1628326818695585798,Tweet-Directed,reply,,1
1627729651652038659,Tweet-Directed,quote,,1
1627729651652038659,Tweet-Directed,retweet,1627679511096459265,1
1627729651652038659,Tweet-Directed,reply,,1
1629434484801060864,Tweet-Directed,quote,,1
1629434484801060864,Tweet-Directed,retweet,1629387468330942464,1
1629434484801060864,Tweet-Directed,reply,,1
1630138524740583424,Tweet-Directed,quote,,1
1630138524740583424,Tweet-Directed,retweet,1630136391639134208,1
1630138524740583424,Tweet-Directed,reply,,1
1629160391421861894,Tweet-Directed,quote,,1
1629160391421861894,Tweet-Directed,retweet,1628480323628531723,1
1629160391421861894,Tweet-Directed,reply,,1
1630197230492610561,Tweet-Directed,quote,,1
1630197230492610561,Tweet-Directed,retweet,1630196401735966720,1
1630197230492610561,Tweet-Directed,reply,,1
1627785032143077378,Tweet-Directed,quote,,1
1627785032143077378,Tweet-Directed,retweet,1627578363425574912,1
1627785032143077378,Tweet-Directed,reply,,1
1629187541181014016,Tweet-Directed,quote,,1
1629187541181014016,Tweet-Directed,retweet,1629181985213014019,1
1629187541181014016,Tweet-Directed,reply,,1
1627269355695210496,Tweet-Directed,quote,,1
1627269355695210496,Tweet-Directed,retweet,1626643020400496640,1
1627269355695210496,Tweet-Directed,reply,,1
1629070363387731968,Tweet-Directed,quote,,1
1629070363387731968,Tweet-Directed,retweet,1629070296178098176,1
1629070363387731968,Tweet-Directed,reply,,1
1628821043153457152,Tweet-Directed,quote,,1
1628821043153457152,Tweet-Directed,retweet,1628771794092978176,1
1628821043153457152,Tweet-Directed,reply,,1
